code,code50,Name_Fi,Name_Sv,Name_AltGen,Name_Alt,province_Fi,province_Sv,Status,Urban,grouperMLK,grouperAll
91,11.0,Helsinki,Helsingfors,,,Uudenmaan lääni,Nylands län,Remain,1.0,91.0,91.0
78,20.0,Hanko,Hangö,,,Uudenmaan lääni,Nylands län,Remain,1.0,78.0,78.0
434,30.0,Loviisa,Lovisa,,,Uudenmaan lääni,Nylands län,Remain,1.0,434.0,434.0
612,40.0,Porvoo,Borgå,Porvoo kla,Porvoon kla,Uudenmaan lääni,Nylands län,Remain,1.0,612.0,612.0
835,50.0,Tammisaari,Ekenäs,,,Uudenmaan lääni,Nylands län,Remain,1.0,835.0,835.0
106,110.0,Hyvinkää,Hyvinge,Hyvinkää kla,Hyvinkään kla,Uudenmaan lääni,Nylands län,Remain,1.0,106.0,106.0
186,120.0,Järvenpää,Träskända,,,Uudenmaan lääni,Nylands län,Remain,1.0,186.0,858.0
220,130.0,Karjaa,Karis,Karjaa kla,Karjaan kla,Uudenmaan lääni,Nylands län,Remain,1.0,220.0,220.0
224,140.0,Karkkila,,Karkkila kla,Karkkilan kla,Uudenmaan lääni,Nylands län,Remain,1.0,224.0,627.0
235,150.0,Kauniainen,Grankulla,Kauniainen kla,Kauniaisten kla,Uudenmaan lääni,Nylands län,Remain,1.0,235.0,49.0
245,160.0,Kerava,Kervo,,Keravan kla,Uudenmaan lääni,Nylands län,Remain,1.0,245.0,858.0
427,170.0,Lohja,Lojo,,Lohjan kla,Uudenmaan lääni,Nylands län,Remain,1.0,427.0,427.0
15,1001.0,Artjärvi,Artsjö,,,Uudenmaan lääni,Nylands län,Remain,0.0,15.0,15.0
18,1002.0,Askola,,,,Uudenmaan lääni,Nylands län,Remain,0.0,18.0,18.0
34,1003.0,Bromarv,Bromarf,Bromarvi,,Uudenmaan lääni,Nylands län,Remain,0.0,34.0,34.0
39,401002.0,Degerby,,,,Uudenmaan lääni,Nylands län,Temporarily_Ceded,0.0,39.0,149.0
49,1004.0,Espoo,Esbo,,,Uudenmaan lääni,Nylands län,Remain,0.0,49.0,49.0
92,1005.0,Helsingin mlk,Helsinge,Helsinki mlk,Vantaa,Uudenmaan lääni,Nylands län,Remain,0.0,91.0,91.0
107,1006.0,Hyvinkään mlk,Hyvinge lk,Hyvinkää mlk,,Uudenmaan lääni,Nylands län,Remain,0.0,106.0,106.0
149,1007.0,Inkoo,Ingä,,Ingå,Uudenmaan lääni,Nylands län,Remain,0.0,149.0,149.0
221,1008.0,Karjaan mlk,Karis lk,Karjaa mlk,,Uudenmaan lääni,Nylands län,Remain,0.0,220.0,220.0
